order,concept,ratio,filename,source_ad_name
32,TBTH357,9x16,tf_tbth357_9x16_d7dba4.mp4,b-H_p-TF_crt-T_c-MP301_t-V_ct-PP_cst-C-V_cn-TBTH357_h-C_cp-VO_v-V1_e-Creator_o-NO_it-OG_d-6252026_C_9x16
33,Cohley-ChrisHernandez-Scripted-Motion-2Y,mx,tf_cohley-chrishernandez-scripted-motion-2y_mx_e388b9.mp4,Video_Cohley-ChrisHernandez-Scripted-Motion-2YearTattoo_C.Control_/pdp
34,TheKingOfChaos,mx,tf_thekingofchaos_mx_5a54f9.mp4,b-H_p-TF_crt-T_c-AB341_t-V_ct-PP_cst-C/V_cn-C21_h-CP_cp-L_v-V1_e-Creator_o-NO_it-OG_n-TheKingOfChaos_d-21826
35,Cohley-TreyBeltrand-ComparedToHB-Direct,9x16,tf_cohley-treybeltrand-comparedtohb-direct_9x16_0ed596.mp4,Video_Cohley-TreyBeltrand-ComparedToHB-Direct_C.Control_/pdp
36,Cohley-TreyBeltrand-ComparedToHB-Direct,4x5,tf_cohley-treybeltrand-comparedtohb-direct_4x5_0ed595.mp4,Video_Cohley-TreyBeltrand-ComparedToHB-Direct_C.Control_/pdp
37,Cohley-MeganAllen-Scripted-ModernCareFor,9x16,tf_cohley-meganallen-scripted-moderncarefor_9x16_529142.mp4,Video_Cohley-MeganAllen-Scripted-ModernCareForClassicInk_C.Control_/pdp_ASC
38,Cohley-MeganAllen-Scripted-ModernCareFor,4x5,tf_cohley-meganallen-scripted-moderncarefor_4x5_529141.mp4,Video_Cohley-MeganAllen-Scripted-ModernCareForClassicInk_C.Control_/pdp_ASC
39,Cohley-JohnClaude-Scripted-ModernCareFor,9x16,tf_cohley-johnclaude-scripted-moderncarefor_9x16_529163.mp4,Video_Cohley-JohnClaude-Scripted-ModernCareForClassicInk_C.Control_/pdp
40,Cohley-JohnClaude-Scripted-ModernCareFor,4x5,tf_cohley-johnclaude-scripted-moderncarefor_4x5_529162.mp4,Video_Cohley-JohnClaude-Scripted-ModernCareForClassicInk_C.Control_/pdp
41,CommentResponseReEdit4,mx,tf_commentresponsereedit4_mx_8a1d17.mp4,b-H_p-TF_crt-T_c-MP301_t-V_ct-T_cst-SP_cn-TMS298_h-UV_cp-L_v-V1_e-CS_o-NO_it-H_n-CommentResponseReEdit4_d-42426
42,10yrOldInk,mx,tf_10yroldink_mx_10f4ce.mp4,b-H_p-TF_crt-T_c-MP301_t-V_ct-T_cst-SP_cn-C21_h-UV_cp-L_v-V1_e-Creator_o-NO_it-OG_n-10yrOldInk_d-12726 2
43,BAF126,9x16,tf_baf126_9x16_619b66.mp4,b-H_p-TF_crt-G_c-G21_t-V_ct-PS_cst-B/A_cn-BAF126_h-C_cp-L_v-V4_e-Creator_o-NO_it-H_d-12026
44,BAF126,4x5,tf_baf126_4x5_619b5b.mp4,b-H_p-TF_crt-G_c-G21_t-V_ct-PS_cst-B/A_cn-BAF126_h-C_cp-L_v-V4_e-Creator_o-NO_it-H_d-12026
45,Cohley-TreyBeltrand-ComparedToHB,9x16,tf_cohley-treybeltrand-comparedtohb_9x16_0ed59c.mp4,Video_Cohley-TreyBeltrand-ComparedToHB_C.Control_/pdp
46,Cohley-TreyBeltrand-ComparedToHB,4x5,tf_cohley-treybeltrand-comparedtohb_4x5_0ed59b.mp4,Video_Cohley-TreyBeltrand-ComparedToHB_C.Control_/pdp
47,GIF2,9x16,tf_gif2_9x16_70d0a3.mp4,b-H_p-TF_crt-TQE_c-TQEJ297_t-V_ct-T_cst-SP_cn-TFT138_h-SP_cp-SP_v-V2_e-Creator_o-NO_it-H_n-GIF2_d-12626 2
48,GIF2,4x5,tf_gif2_4x5_70d0a2.mp4,b-H_p-TF_crt-TQE_c-TQEJ297_t-V_ct-T_cst-SP_cn-TFT138_h-SP_cp-SP_v-V2_e-Creator_o-NO_it-H_n-GIF2_d-12626 2
49,NFTP63,mx,tf_nftp63_mx_424358.mp4,b-H_p-TF_crt-TC_c-SL576_t-V_ct-PP_cst-F-B_cn-NFTP63_h-CP_cp-L_v-V5_e-Creator_o-NO_it-OG_d-80426trybe=dce75937
50,ParkingLotInterest,mx,tf_parkinglotinterest_mx_3ed85f.mp4,b-H_p-TF_crt-T_c-MP301_t-V_ct-T_cst-SP_cn-S192_h-SP_cp-L_v-V1_e-Creator_o-NO_it-OG_n-ParkingLotInterest_d-51826
51,Caution,mx,tf_caution_mx_2edaa1.mp4,b-H_p-TF_crt-T_c-MP301_t-V_ct-T_cst-SP_cn-P162_h-UV_cp-L_v-V2_e-Creator_o-NO_it-OG_n-Caution_d-20226
52,CrustyTattoo,mx,tf_crustytattoo_mx_10f4cc.mp4,b-H_p-TF_crt-T_c-MP301_t-V_ct-T_cst-SP_cn-FI168_h-UV_cp-L_v-V1_e-Creator_o-NO_it-OG_n-CrustyTattoo_d-12726
53,Dorian,mx,tf_dorian_mx_40eab6.mp4,b-H_p-TF_crt-M_c-TT66_t-V_ct-PP_cst-D_cn-DM487_h-D_cp-L_v-V1_e-Creator_o-NO_it-OG_n-Dorian_d-61826
54,TTAff-MaggieMay-POV2,mx,tf_ttaff-maggiemay-pov2_mx_da73cc.mp4,Video_TTAff-MaggieMay-POV2_C.Control_/pdp_ASC
55,TTAff-MaggieMay-Frosting2,mx,tf_ttaff-maggiemay-frosting2_mx_da73ce.mp4,Video_TTAff-MaggieMay-Frosting2_C.Control_/pdp_ASC
56,CoryHemp,mx,tf_coryhemp_mx_297d4d.mp4,b-H_p-TF_crt-T_c-CH359_t-V_ct-PP_cst-IS_cn-FTR30_h-D_cp-L_v-V1_e-Creator_o-NO_it-OG_n-CoryHemp_d-31026
57,TattooArtistScammingYou,mx,tf_tattooartistscammingyou_mx_8a1d22.mp4,b-H_p-TF_crt-T_c-MP301_t-V_ct-T_cst-SP_cn-TMS298_h-UV_cp-L_v-V1_e-CS_o-NO_it-H_n-TattooArtistScammingYou_d-42426
58,5BeardedSecret,mx,tf_5beardedsecret_mx_a26e9a.mp4,b-H_p-TF_crt-E_c-I295_t-V_ct-T_cst-SP_cn-TFTAM312_h-SP_cp-L_v-V1_e-CS_o-NO_it-M_n-5BeardedSecret_d-42826
59,Cohley-IanPanganiban-Scripted-ModernCare,9x16,tf_cohley-ianpanganiban-scripted-moderncare_9x16_bf9614.mp4,Video_Cohley-IanPanganiban-Scripted-ModernCareForClassicInk_C.Control_/pdp
60,Cohley-IanPanganiban-Scripted-ModernCare,4x5,tf_cohley-ianpanganiban-scripted-moderncare_4x5_bf967b.mp4,Video_Cohley-IanPanganiban-Scripted-ModernCareForClassicInk_C.Control_/pdp
61,Video1B,9x16,tf_video1b_9x16_470688.mp4,b-H_p-TF_crt-TQE_c-TQEL296_t-V_ct-T_cst-SP_cn-TFT138_h-SP_cp-SP_v-V2_e-Creator_o-NO_it-H_n-Video1B_d-12626
62,Video1B,4x5,tf_video1b_4x5_47068b.mp4,b-H_p-TF_crt-TQE_c-TQEL296_t-V_ct-T_cst-SP_cn-TFT138_h-SP_cp-SP_v-V2_e-Creator_o-NO_it-H_n-Video1B_d-12626
63,Cohley-CarlyChilders-Scripted-Motion-2Ye,9x16,tf_cohley-carlychilders-scripted-motion-2ye_9x16_e388a3.mp4,Video_Cohley-CarlyChilders-Scripted-Motion-2YearTattoo_C.Control_/pdp
64,Cohley-CarlyChilders-Scripted-Motion-2Ye,4x5,tf_cohley-carlychilders-scripted-motion-2ye_4x5_e388a1.mp4,Video_Cohley-CarlyChilders-Scripted-Motion-2YearTattoo_C.Control_/pdp
65,TQE-UGC-Brianna-C2-Video1,9x16,tf_tqe-ugc-brianna-c2-video1_9x16_650d83.mp4,Video_TQE-UGC-Brianna-C2-Video1_C.TQE_/pdp
66,TQE-UGC-Brianna-C2-Video1,4x5,tf_tqe-ugc-brianna-c2-video1_4x5_650d82.mp4,Video_TQE-UGC-Brianna-C2-Video1_C.TQE_/pdp
67,GIF3,9x16,tf_gif3_9x16_70d09d.mp4,b-H_p-TF_crt-TQE_c-TQEJ297_t-V_ct-T_cst-SP_cn-TFT138_h-SP_cp-SP_v-V3_e-Creator_o-NO_it-H_n-GIF3_d-12626 2
68,GIF3,4x5,tf_gif3_4x5_70d09c.mp4,b-H_p-TF_crt-TQE_c-TQEJ297_t-V_ct-T_cst-SP_cn-TFT138_h-SP_cp-SP_v-V3_e-Creator_o-NO_it-H_n-GIF3_d-12626 2
69,PYII411,9x16,tf_pyii411_9x16_d907e5.mp4,b-H_p-TF_crt-T_c-AL533_t-V_ct-PS_cst-CoI_cn-PYII411_h-QH_cp-CF_v-V1_e-Creator_o-NO_it-OG_d-7062026_C_9x16
